# bitmaptools bench, Raspberry Pi 5 Model B Rev 1.0, Python 3.13.5, 240x240 4-bit, displayio from /home/pi/env/lib/python3.13/site-packages/displayio
| case | pixels | median ms | us per pixel | sha256 |
|---|---|---|---|---|
| bitmap[x, y] = v, every pixel | 57600 | 127.2 | 2.21 | 4b5420481545 |
| v = bitmap[x, y], every pixel | 57600 | 39.6 | 0.69 | 460a263aa241 |
| Bitmap.fill | 57600 | 0.4 | 0.01 | 6850147ad542 |
| fill_region, whole bitmap | 57600 | 123.0 | 2.14 | 6850147ad542 |
| blit, whole bitmap | 57600 | 196.7 | 3.41 | daebaf16a1d8 |
| blit 64x64, skip_source_index | 4096 | 13.4 | 3.27 | 5811232d7bc6 |
| rotozoom 64x64, 30 degrees, scale 2 | 16384 | 53.9 | 3.29 | 6a081ac4555a |
| draw_line x 20, corner to corner | 4800 | 10.9 | 2.28 | c557a2875931 |
| draw_circle x 20 |  | 14.5 |  | 7a5b84c1ec48 |
| boundary_fill inside a ring |  | 79.0 |  | 6d73c4f8bb54 |
# output sha256 8bed9684ccfb
