# displayio sources, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240, displayio from /home/pi/blinka-turbo/main240/displayio, 2026-09-22 10:23
| scene | pixels sent | median ms | ms per 1k px | vs fast path | sha256 |
|---|---|---|---|---|---|
| Bitmap + Palette (#179 fast path) | 57557 | 513.6 | 8.92 | 1.0x | 2e91c9b5dcea |
| OnDiskBitmap, 8-bit BMP | 57557 | 2088.2 | 36.28 | 4.1x | 7466da0a4139 |
| OnDiskBitmap, 16-bit BMP | 57557 | 3547.6 | 61.64 | 6.9x | df42b6f504f4 |
| OnDiskBitmap, 24-bit BMP | 57557 | 3402.6 | 59.12 | 6.6x | 1e5dc9e1d135 |
| Bitmap + ColorConverter | 57557 | 3209.0 | 55.75 | 6.2x | 26131d1fd355 |
| vectorio Rectangle | 57605 | 1389.7 | 24.12 | 2.7x | 82819e0b9c61 |
| vectorio Circle | 57605 | 1301.7 | 22.60 | 2.5x | c7d5c3ac70d3 |
| vectorio Polygon | 57365 | 1641.2 | 28.61 | 3.2x | 50765039f599 |
| Bitmap + Palette, 1-bit mono display 128x64 | 8267 | 302.7 | 36.61 | 4.1x | cb9885dac4e2 |
# output sha256 55ada9a3802a
